Model 	Base Provider 	Provider 	Website
gpt-3.5-turbo 	OpenAI 	8+ Providers 	openai.com
gpt-4 	OpenAI 	2+ Providers 	openai.com
gpt-4-turbo 	OpenAI 	g4f.Provider.Bing 	openai.com
Llama-2-7b-chat-hf 	Meta 	2+ Providers 	llama.meta.com
Llama-2-13b-chat-hf 	Meta 	2+ Providers 	llama.meta.com
Llama-2-70b-chat-hf 	Meta 	3+ Providers 	llama.meta.com
Meta-Llama-3-8b-instruct 	Meta 	1+ Providers 	llama.meta.com
Meta-Llama-3-70b-instruct 	Meta 	2+ Providers 	llama.meta.com
CodeLlama-34b-Instruct-hf 	Meta 	g4f.Provider.HuggingChat 	llama.meta.com
CodeLlama-70b-Instruct-hf 	Meta 	2+ Providers 	llama.meta.com
Mixtral-8x7B-Instruct-v0.1 	Huggingface 	4+ Providers 	huggingface.co
Mistral-7B-Instruct-v0.1 	Huggingface 	3+ Providers 	huggingface.co
Mistral-7B-Instruct-v0.2 	Huggingface 	g4f.Provider.DeepInfra 	huggingface.co
zephyr-orpo-141b-A35b-v0.1 	Huggingface 	2+ Providers 	huggingface.co
dolphin-2.6-mixtral-8x7b 	Huggingface 	g4f.Provider.DeepInfra 	huggingface.co
gemini 	Google 	g4f.Provider.Gemini 	gemini.google.com
gemini-pro 	Google 	2+ Providers 	gemini.google.com
claude-v2 	Anthropic 	1+ Providers 	anthropic.com
claude-3-opus 	Anthropic 	g4f.Provider.You 	anthropic.com
claude-3-sonnet 	Anthropic 	g4f.Provider.You 	anthropic.com
lzlv_70b_fp16_hf 	Huggingface 	g4f.Provider.DeepInfra 	huggingface.co
airoboros-70b 	Huggingface 	g4f.Provider.DeepInfra 	huggingface.co
openchat_3.5 	Huggingface 	2+ Providers 	huggingface.co
pi 	Inflection 	g4f.Provider.Pi 	inflection.ai
